pair,omega_b2,omega_l12
Dy-Pb,,-0.069976692356711
Dy-Pt,,-0.10440575464211488
Dy-Re,,1.5871947779956974
Dy-Ru,,-0.15649581259080542
Dy-Sc,,-0.07400005228868564
Dy-Si,,-0.22359252602604004
Dy-Sn,,-0.08414603848425437
Dy-Ta,,-0.19094214089127792
Dy-Tb,,-0.16853773610964867
Dy-Ti,,-0.27657370522051467
Dy-V,,0.06835452241525704
Dy-W,,1.2957858502479165
Dy-Y,,-0.4261640009778643
Dy-Zr,,0.12688001364907073
Er-Fe,,-0.21987310915868916
Er-Ge,,-0.33808103651026356
Er-Hf,,-0.13909928986993986
Er-La,,-0.33387629069902525
Er-Mn,,-0.14160407999655644
Er-Mo,,-0.2988230749002785
Er-Nb,,-0.30688709651801077
Er-Ni,,-0.17321276381919218
Er-Os,,-0.13508950784750473
Er-Pb,,-0.06853168998213391
Er-Pt,,-0.10714553744197251
Er-Re,,-0.2722408678331117
Er-Ru,,-0.14606249440250124
Er-Sc,,-0.13477624953579265
Er-Si,,-0.2393343282116889
Er-Sn,,-0.08461391951954408
Er-Ta,,-0.17625769320543633
Er-Tb,,-0.16579976131204938
Er-Ti,,-0.35891051452835077
Er-V,,-0.2539228469888991
Er-W,,-0.15403918928435228
Er-Y,,-0.45905908753096064
Er-Zr,,-0.35343159198843943
Fe-Ir,,0.01471546953473713
Fe-Os,,-0.042558335417901716
Fe-Pb,,-0.0720717011440431
Fe-Pt,,0.04762966414555246
Fe-Re,,-0.05015327049485987
Fe-Tb,,-0.12172227744281632
Ge-Ir,,-0.1359595806315525
Ge-Os,,-0.14500175610071314
Ge-Pb,,-0.016968937969547487
Ge-Pt,,-0.11370012612719724
Ge-Re,,-0.1652046622397454
Ge-Rh,,-0.14248189988510152
Ge-Tb,,-0.2489756515363603
Hf-Pb,,-0.057092184906121
Hf-Re,,-0.11978515006498489
Hf-Tb,,-0.2274507894368749
Ir-La,,-0.11113358323177108
Ir-Mg,,-0.13538724792500578
Ir-Mn,,-0.028775467731026648
Ir-Mo,,0.007592511630632411
Ir-Nb,,-0.0067174820533266524
Ir-Ni,,0.018235779811853727
Ir-Os,,0.022039509232293128
Ir-Pb,,-0.06832621546500858
Ir-Pd,,0.023327276474806213
Ir-Pt,,0.02650462005370083
Ir-Re,,0.013782698178566697
Ir-Rh,,0.017136467974947892
Ir-Ru,,0.016412645399065093
Ir-Si,,-0.17267080740447077
Ir-Sn,,-0.08040444757058209
Ir-Ta,,-0.008157103830164193
Ir-Tb,,-0.16692521813258243
Ir-V,,-0.010319773789660945
Ir-W,,0.009616577384781071
Ir-Zn,,-0.02792958565975476
La-Os,,-0.12055757742707664
La-Pb,,-0.06991000916741365
La-Pt,,-0.09184176252597039
La-Re,,-0.11963841730262886
La-Rh,,-0.10396025272276943
La-Tb,,-0.10591984110410266
Mg-Os,,-0.13191906405613119
Mg-Pb,,-0.0007841428407803636
Mg-Pt,,-0.12427263478350502
Mg-Re,,-0.1689952951709492
Mn-Os,,-0.0364087694962866
Mn-Pb,,-0.031958338014700785
Mn-Pt,,0.09556588002978292
Mn-Re,,-0.039604521872114135
Mn-Tb,,-0.17584439156423212
Mo-Os,,0.013370424158468465
Mo-Pb,,-0.0734083981008315
Mo-Pt,,0.011102554818790989
Mo-Re,,0.014444480237940427
Mo-Rh,,0.0030912870879034916
Mo-Tb,,0.156484493570461
Nb-Os,,0.01852420273156729
Nb-Pb,,-0.05374039910439092
Nb-Pt,,0.013014413415738578
Nb-Re,,0.021464832006952407
Nb-Rh,,-0.010949360209940855
Nb-Tb,,-0.2848030923024513
Ni-Os,,0.013955923131375067
Ni-Pb,,-0.07694996144268051
Ni-Pt,,0.014824931970415907
Ni-Re,,0.0008214893314524535
Ni-Rh,,0.017870781532025013
Ni-Tb,,-0.20751919195344845
Os-Pb,,-0.07390486123625514
Os-Pd,,0.018550854053423306
Os-Pt,,0.021328819072418258
Os-Re,,0.017356085810672862
Os-Rh,,0.015413439272422683
Os-Ru,,0.015259112797918686
Os-Sc,,-0.1012004743273875
Os-Sn,,-0.08859108109666403
Os-Ta,,0.0118076274253952
Os-Tb,,-0.17138632637360915
Os-W,,0.015341029868226427
Os-Y,,-0.1258155237913216
Os-Zn,,-0.030678912149030107
Pb-Pd,,-0.08619659580387064
Pb-Pt,,-0.0829251644754835
Pb-Re,,-0.07554077404884355
Pb-Rh,,-0.06801341701760429
Pb-Ru,,-0.07411966470428685
Pb-Sc,,-0.06720556087872719
Pb-Si,,-0.038822786394058506
Pb-Sn,,0.049517589191088056
Pb-Ta,,-0.0590718223596067
Pb-Tb,,-0.06942161823079473
Pb-Ti,,-0.053356554832960666
Pb-V,,-0.04344120315720766
Pb-W,,-0.07240878579417065
Pb-Y,,-0.07389836643354927
Pb-Zn,,0.02207350913888844
Pb-Zr,,-0.062000384560817426
Pd-Pt,,0.027433175941413486
Pd-Re,,0.011618591529931416
Pd-Rh,,0.02329887914945446
Pd-Tb,,-0.09299694244719396
Pt-Re,,0.014045314016489131
Pt-Rh,,0.021317859481238696
Pt-Ru,,0.01725085116997639
Pt-Si,,-0.14457404762995169
Pt-Sn,,-0.08680964499998971
Pt-Ta,,0.001699846611996125
Pt-V,,0.0010737485036556849
Pt-W,,0.010075757089634797
Pt-Y,,-0.11676997258806977
Pt-Zn,,-0.008166106880210423
Re-Rh,,0.007095591060872696
Re-Ru,,0.011380008326788708
Re-Sc,,-0.09508847974141785
Re-Si,,-0.12313252652981635
Re-Sn,,-0.2109421596853625
Re-Ta,,0.015458342905289559
Re-Tb,,-0.17719803789949587
Re-V,,-0.00015295767420844255
Re-W,,0.01584899932703937
Re-Y,,-0.2705515107781405
Re-Zn,,-0.04017222967593027
Re-Zr,,-0.13490991771632677
Rh-Ru,,0.010728272101532217
Rh-Sn,,-0.07719335568599703
Rh-Ta,,-0.016579086591482634
Rh-V,,-0.01525606498231672
Rh-W,,0.0032531166732500654
Ru-Tb,,-0.2796708150797256
Sc-Tb,,-0.06734055375413933
Si-Tb,,-0.22783426640273508
Sn-Tb,,-0.08438118288596676
Ta-Tb,,0.045317151489443507
Tb-Ti,,-0.13336466341725664
Tb-V,,0.9884492012831327
Tb-W,,0.12492783674459096
Tb-Y,,-0.32836219107690123
Tb-Zr,,-0.07937757111426487
